Ticker,Fund Name,Start Date,Category,Subcategory,Avg-Vol
AAAU,Perth Mint Physical Gold ETF,2018-08-15 00:00:00,Commodity,Gold/Precious,2590000.0
AAPD,Direxion Daily Aapl Bear 1X Shares,2022-08-09 00:00:00,Leveraged/Inverse,,1100000.0
AAPU,Direxion Daily Aapl Bull 1.5X Shares,2022-08-09 00:00:00,Leveraged/Inverse,,4560000.0
ACWI,iShares MSCI Acwi Index Fund,2008-03-28 00:00:00,Index,Global/International,3080000.0
AGG,iShares Barclays Aggregate Bond,2003-09-29 00:00:00,Bond,,9020000.0
AGQ,ProShares Ultra Silver,2008-12-04 00:00:00,Commodity,Silver,1660000.0
AIYY,Tidal Trust Ii Yieldmax AI Option Income Strategy ETF,2023-11-28 00:00:00,Option Strategy,,1670000.0
AMDL,Graniteshares 2X Long Amd Daily ETF,2024-03-18 00:00:00,Leveraged/Inverse,,37170000.0
AMLP,Alerian Mlp ETF,2010-08-25 00:00:00,Commodity,,1250000.0
AMZU,Direxion Daily Amzn Bull 1.5X Shares,2022-09-07 00:00:00,Leveraged/Inverse,,1570000.0
ARKB,ARK21Shares Bitcoin ETF,2024-01-11 00:00:00,Crypto,,2200000.0
ARKG,ARKGenomic Revolution ETF,2014-10-31 00:00:00,Other,,2370000.0
ARKK,ARKInnovation ETF,2014-10-31 00:00:00,Thematic/Innovation,,11870000.0
ASHR,Xtrackers Harvest CSI 300 China A-Shares,2013-11-06 00:00:00,Country/Region,,7110000.0
BABX,Graniteshares 1.75X Long Baba Daily ETF,2022-12-13 00:00:00,Thematic/Innovation,,1080000.0
BBJP,JP Morgan Betabuilders Japan ETF,2018-06-21 00:00:00,Country/Region,,1560000.0
BIL,SPDR Lehman 1-3 Month T-Bill ETF,2007-05-30 00:00:00,Bond,Treasury,8700000.0
BINC,Blackrock ETF Trust Ii Blackrock Flexible Income ETF,2023-05-23 00:00:00,Dividend/Income,,1440000.0
BITB,Bitwise Bitcoin Etp Trust,2024-01-11 00:00:00,Crypto,,1470000.0
BITI,ProShares Trust ProShares Short Bitcoin Strategy ETF,2022-06-21 00:00:00,Crypto,,1880000.0
BITO,ProShares Bitcoin Strategy ETF,2021-10-19 00:00:00,Crypto,,9480000.0
BITU,ProShares Trust ProShares Ultra Bitcoin ETF,2024-04-02 00:00:00,Crypto,,2210000.0
BITX,Volatility Shares Trust 2X Bitcoin Strategy ETF,2023-06-27 00:00:00,Leveraged/Inverse,,7800000.0
BIV,Vanguard It Bond ETF,2007-04-10 00:00:00,Bond,,1510000.0
BKLN,PowerShares Exchange-Traded Fund,2011-03-03 00:00:00,Loan,,6850000.0
BND,Vanguard Total Bond Market ETF,2007-04-10 00:00:00,Bond,,6550000.0
BNDX,Vanguard Total International Bond ETF,2013-06-04 00:00:00,Bond,,3440000.0
BOIL,ProShares Ultra Bloomberg Natural Gas,2011-10-06 00:00:00,Commodity,Natural Gas,4570000.0
BSV,Vanguard St Bond ETF,2007-04-10 00:00:00,Bond,,2000000.0
BTC,Grayscale Bitcoin Mini Trust,2024-07-31 00:00:00,Crypto,,1140000.0
CALF,Pacer Us Small Cap Cash Cows 100 ETF,2017-06-19 00:00:00,Equity Sector,,1240000.0
CGCP,Capital Core Plus Income ETF Capital Core Plus Inc,2022-02-24 00:00:00,Dividend/Income,,1040000.0
CGDV,Capital Dividend Value ETF Capital Dividend Value,2022-02-24 00:00:00,Factor,,3750000.0
CGGR,Capital Growth ETF Capital Growth ETF,2022-02-24 00:00:00,Growth,,2850000.0
CGUS,Capital Core Equity ETF Capital Core Equity ETF,2022-02-24 00:00:00,Dividend/Income,,1150000.0
CIBR,First Trust Nasdaq Cea Cybersecurity ETF,2015-07-07 00:00:00,Index,Nasdaq,1140000.0
CONY,Tidal ETF Trust Ii Yieldmax Coin Option Income Strategy ETF,2023-08-15 00:00:00,Option Strategy,,12540000.0
COPX,Global X Copper Miners ETF,2010-04-20 00:00:00,Global/World,,1340000.0
COWZ,Pacer Us Cash Cows 100 ETF,2016-12-19 00:00:00,Dividend/Income,,2570000.0
DFAC,Dimensional U.S. Core Equity 2 ETF,2021-06-14 00:00:00,Country/Region,,1910000.0
DFAI,Dimensional International Core Equity Market ETF,2020-11-18 00:00:00,Thematic/Innovation,,1090000.0
DFIV,Dimensional International Value ETF,2021-09-13 00:00:00,Factor,,1030000.0
DFSV,Dimensional ETF Trust Dimensional Us Small Cap Value ETF,2022-02-24 00:00:00,Equity Sector,,1710000.0
DGRO,iShares Core Dividend Growth ETF,2014-06-12 00:00:00,Growth,,1560000.0
DIA,SPDR Dow Jones Industrial Average,2000-01-03 00:00:00,Index,Dow,3740000.0
DOG,ProShares Short Dow30,2006-06-21 00:00:00,Short,,1070000.0
DRIP,Direxion Daily S&P Oil & Gas Exp. & Prod. Bear 2X Shares,2015-05-29 00:00:00,Leveraged/Inverse,,2009999.0
DUHP,Dimensional ETF Trust Dimensional Us High Profitability ETF,2022-02-24 00:00:00,Other,,1200000.0
DUST,Direxion Daily Gold Miners Index Bear 2X,2010-12-08 00:00:00,Leveraged/Inverse,,1940000.0
